Timestamp,Flex Value,Leaning Angle,Posture Status,MPU Angle
2026-06-27T11:38:10.662408,3181,90,0,86.37
2026-06-27T11:38:10.856190,3181,90,0,87.12
2026-06-27T11:38:11.050668,3180,90,0,86.35
2026-06-27T11:38:11.245477,3176,90,0,86.09
2026-06-27T11:38:11.450510,3165,90,0,85.94
2026-06-27T11:38:11.635071,3196,90,0,85.72
2026-06-27T11:38:11.881857,3177,90,0,86.22
2026-06-27T11:38:12.074724,3178,90,0,86.79
2026-06-27T11:38:12.269061,3191,90,0,87.23
2026-06-27T11:38:12.467653,3180,90,0,86.90
2026-06-27T11:38:12.660315,3180,90,0,87.12
2026-06-27T11:38:12.854737,3180,90,0,86.88
2026-06-27T11:38:13.099973,3178,90,0,86.51
2026-06-27T11:38:13.294020,3179,90,0,86.55
